competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,Labels Mean Shift
Haribo Sour Bears,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.47,0.47,51.41,1
Haribo Twin Snakes,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.47,0.47,42.18,0
Hershey’s Kisses,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.13,0.09,55.38,1
Hershey’s Krackel,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.43,0.92,62.28,2
Hershey’s Milk Chocolate,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.43,0.92,56.49,1
Hershey’s Special Dark,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.43,0.92,59.24,2
Jawbusters,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.09,0.51,28.13,0
Junior Mints,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.51,57.22,1
Kit Kat,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.31,0.51,76.77,2
Laffy Taffy,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.12,41.39,0
Lemonhead,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.05,0.10,39.14,0
Lifesavers big ring gummies,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.28,52.91,1
Peanut butter M&M’s,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.82,0.65,71.47,2
M&M’s,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.82,0.65,66.57,2
Mike & Ike,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.87,0.32,46.41,0
Milk Duds,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.30,0.51,55.06,1
Milky Way,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.60,0.65,73.10,2
Milky Way Midnight,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.73,0.44,60.80,2
Milky Way Simply Caramel,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.96,0.86,64.35,2
Mounds,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.31,0.86,47.83,1
Mr Good Bar,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.31,0.92,54.53,1
Nerds,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.85,0.32,55.35,1
Nestle Butterfinger,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.60,0.77,70.74,2
Nestle Crunch,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.31,0.77,66.47,2
Nik L Nip,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.98,22.45,0
Now & Later,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.22,0.32,39.45,0
Payday,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.47,0.77,46.30,0
Peanut M&Ms,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.59,0.65,69.48,2
Pixie Sticks,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,0.02,37.72,0
Pop Rocks,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.60,0.84,41.27,0
Red vines,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.58,0.12,37.35,0
Reese’s Miniatures,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.28,81.87,2
Reese’s Peanut Butter cup,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.72,0.65,84.18,2
Reese’s pieces,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.41,0.65,73.43,2
Reese’s stuffed with pieces,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.99,0.65,72.89,2
Ring pop,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.73,0.96,35.29,0
Rolo,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.86,0.86,65.72,2
Root Beer Barrels,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.73,0.07,29.70,0
Runts,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.87,0.28,42.85,0
Sixlets,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.22,0.08,34.72,0
Skittles original,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.94,0.22,63.09,2
Skittles wildberry,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.94,0.22,55.10,1
Nestle Smarties,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.27,0.98,37.89,0
Smarties candy,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.27,0.12,46.00,0
Snickers,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.55,0.65,76.67,2
Snickers Crisper,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.60,0.65,59.53,2
Sour Patch Kids,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,0.12,59.86,2
Sour Patch Tricksters,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.07,0.12,52.83,1
Starburst,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.15,0.22,67.04,2
Strawberry bon bons,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.57,0.06,34.58,0
Sugar Babies,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.96,0.77,33.44,0
Sugar Daddy,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.32,32.23,0
Super Bubble,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.12,27.30,0
Swedish Fish,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.60,0.76,54.86,1
Tootsie Pop,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.60,0.32,48.98,1
Tootsie Roll Juniors,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.51,43.07,0
Tootsie Roll Midgies,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.17,0.01,45.74,0
Tootsie Roll Snack Bars,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.47,0.32,49.65,1
Trolli Sour Bites,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.31,0.26,47.17,1
Twix,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.55,0.91,81.64,2
Twizzlers,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.12,45.47,0
Warheads,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.09,0.12,39.01,0
Welch’s Fruit Snacks,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.31,0.31,44.38,0
Werther’s Original Caramel,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.19,0.27,41.90,0
Whoppers,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.87,0.85,49.52,1
